Support Solo,Category,Number of Games,Average Rating,Average Runtime,Top Game
,,,,,
,,,,,
No,Bluffing,47,7.12,68.19,Citadels
,Economic,65,7.49,105.92,Puerto Rico
,Fighting,48,7.40,103.75,Small World
,Party Game,17,6.54,36.18,Dixit
,Deduction,19,7.28,55.89,Codenames
,,,,,
Yes,Bluffing,0,0.00,0.00,NA
,Economic,23,7.95,126.52,Agricola
,Fighting,21,7.52,113.33,Gloomhaven
,Party Game,1,5.58,20.00,Jenga
,Deduction,3,7.84,110.00,"Sherlock Holmes Consulting Detective: 
The Thames Murders & Other Cases"
,,,,,
GTID: pkubsad3,,,,,
,,,,,
,,,,,
,,,,,
,,,,,